LOCATIONNAME,TYPOLOGY,ROOMS,AREARANGE,PRICE_ASKING,AREA
Moncloa,PISO,2,300,1900.0,300
Chamartín,PISO,2,240,3150.0,240
Centro,PISO,1,195,1650.0,195
Centro,PISO,2,165,1750.0,165
Retiro,PISO,3,120,1300.0,120
Chamberí,PISO,3,240,2325.0,240
Chamberí,PISO,0,70,795.0,70
Chamberí,PISO,0,97,1025.0,97
Chamberí,PISO,1,240,2000.0,240
Chamberí,PISO,0,70,850.0,70
Moncloa,PISO,2,142,1300.0,142
Salamanca,PISO,2,90,667.5,90
Retiro,PISO,3,97,1200.0,97
Moncloa,PISO,2,60,3500.0,60
Moncloa,PISO,3,60,4175.0,60
Salamanca,PISO,3,97,1500.0,97
Tetuán,PISO,1,195,1025.0,195
Chamberí,PISO,3,165,1800.0,165
Centro,PISO,3,105,4400.0,105
Tetuán,PISO,3,142,1399.0,142
Latina,PISO,3,120,800.0,120
Retiro,PISO,2,75,6000.0,75
Chamartín,PISO,0,97,990.0,97
Moncloa,PISO,2,60,3500.0,60
Retiro,PISO,3,300,3750.0,300
Latina,PISO,2,70,700.0,70
Moncloa,PISO,3,40,4175.0,40
Chamartín,PISO,1,142,1300.0,142
Chamartín,PISO,3,90,3500.0,90
Moncloa,PISO,2,300,2100.0,300
Latina,PISO,2,195,1550.0,195
Retiro,PISO,2,97,1200.0,97
Chamberí,PISO,2,195,2475.0,195
Chamartín,PISO,1,240,3600.0,240
Centro,PISO,1,195,2100.0,195
Tetuán,PISO,2,120,3450.0,120
Retiro,PISO,0,97,1100.0,97
Moncloa,PISO,0,165,1200.0,165
Tetuán,PISO,2,165,1400.0,165
Salamanca,PISO,1,165,1825.0,165
Salamanca,PISO,3,70,1200.0,70
Tetuán,PISO,2,40,755.0,40
Moncloa,PISO,2,70,890.0,70
Salamanca,PISO,1,120,1520.0,120
Salamanca,PISO,3,195,2300.0,195
Retiro,PISO,2,120,6000.0,120
Retiro,PISO,1,120,700.0,120
Salamanca,PISO,1,142,1600.0,142
Salamanca,PISO,0,70,950.0,70
Latina,PISO,2,195,1650.0,195
Moncloa,PISO,0,97,850.0,97
Centro,PISO,3,165,1700.0,165
Chamartín,PISO,3,165,1500.0,165
Retiro,PISO,2,300,3800.0,300
Salamanca,PISO,1,195,1700.0,195
Centro,PISO,2,240,2000.0,240
Retiro,PISO,1,142,1100.0,142
Moncloa,PISO,1,240,2500.0,240
Tetuán,PISO,0,70,760.0,70
Chamberí,PISO,1,40,750.0,40
Tetuán,PISO,1,142,800.0,142
Latina,PISO,3,300,2700.0,300
Chamberí,PISO,0,142,1500.0,142
Centro,PISO,0,195,1350.0,195
Tetuán,PISO,0,97,800.0,97
Salamanca,PISO,0,70,855.0,70
Centro,PISO,3,97,1650.0,97
Latina,PISO,1,70,690.0,70
Latina,PISO,3,240,1300.0,240
Salamanca,PISO,3,70,1350.0,70
Chamberí,PISO,0,120,1100.0,120
Chamberí,PISO,1,240,1950.0,240
Latina,PISO,2,70,700.0,70
Chamartín,PISO,2,240,3175.0,240
Retiro,PISO,3,300,2800.0,300
Salamanca,PISO,3,70,1300.0,70
Centro,PISO,0,240,1900.0,240
Latina,PISO,3,240,1800.0,240
Latina,PISO,0,70,950.0,70
Centro,PISO,3,97,1225.0,97
Moncloa,PISO,1,60,884.0,60
Centro,PISO,3,97,1250.0,97
Chamberí,PISO,3,120,1300.0,120
Centro,PISO,2,195,2150.0,195
Chamberí,PISO,1,120,800.0,120
Tetuán,PISO,0,70,750.0,70
Retiro,PISO,2,240,3250.0,240
Centro,PISO,3,70,1100.0,70
Latina,PISO,1,97,750.0,97
Tetuán,PISO,0,70,840.0,70
Chamartín,PISO,0,40,750.0,40
Chamberí,PISO,3,300,2600.0,300
Latina,PISO,3,165,1000.0,165
Latina,PISO,2,142,1000.0,142
Chamartín,PISO,0,70,880.0,70
Latina,PISO,1,40,700.0,40
